Ciqual  AGB,Ciqual  code,Groupe d'aliment,Sous-groupe d'aliment,Nom Français,LCI Name,Ingredients,Score unique EF,Changement climatique,Appauvrissement de la couche d'ozone,Rayonnements ionisants,Formation photochimique d'ozone,Particules fines,Effets toxicologiques sur la santé humaine : substances non-cancérogènes,Effets toxicologiques sur la santé humaine : substances cancérogènes,Acidification terrestre et eaux douces,Eutrophisation eaux douces,Eutrophisation marine,Eutrophisation terrestre,Écotoxicité pour écosystèmes aquatiques d'eau douce,Utilisation du sol,Épuisement des ressources eau,Épuisement des ressources énergétiques,Épuisement des ressources minéraux
25999,25999,"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Anchois, filets roulés aux câpres, semi-conserve, égoutté","Anchovy, fillets, rolled with capers, semi-preserved, drained",Anchois,0.11233159999999999,0.72658695,1.6388001e-7,0.044674332,0.01141488,1.2122715e-7,4.7145933e-9,4.2475821e-10,0.015988462,0.000049588597,0.0039661219,0.043329869,3.2591444000000003,3.2854296,0.033263989,9.8026881,0.0000088728187
25999,25999,"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Anchois, filets roulés aux câpres, semi-conserve, égoutté","Anchovy, fillets, rolled with capers, semi-preserved, drained",Sel,0.021589861000000002,0.14076375,9.3644468e-9,0.015609198,0.00056105588,1.0084302e-8,2.7542632e-9,1.8609202e-10,0.0010404822,0.000074136566,0.00023877785,0.0020840702,1.10787959,1.0013953,0.078353693,1.7170573,0.0000068830711
25999,25999,"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Anchois, filets roulés aux câpres, semi-conserve, égoutté","Anchovy, fillets, rolled with capers, semi-preserved, drained",Huile de tournesol,0.035830514,0.23738729,2.1691134e-8,0.017363457,0.00089682894,1.5349962e-8,4.1711243e-9,8.7020961e-10,0.0021226486,0.0001376808,0.0030137781,0.0099311837,9.3000194,57.637506,0.12102958,1.5958949,7.2468385e-7
25999,25999,"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Anchois, filets roulés aux câpres, semi-conserve, égoutté","Anchovy, fillets, rolled with capers, semi-preserved, drained",Autres étapes,0.074127993,0.65714429,6.9021276e-8,0.60296964,0.00172665871,2.98334787e-8,6.050461099999999e-9,2.4459707e-10,0.0027223233999999997,0.000057336657,0.00124721134,0.007795871899999999,2.27116716,4.3512327,0.24554210999999998,20.913614600000002,0.00000298770489
13038,13038,"fruits, légumes, légumineuses et oléagineux",fruits,Compote de pomme,Apple compote,Pomme de table,0.031063496,0.11182444,2.0277715e-8,0.015732546,0.00055599089,8.9480755e-9,2.3820317e-9,1.9551048e-10,0.0009523166,0.000017182981,0.00041021391,0.004675366,6.1173368,10.261798,2.1445958,1.298704,0.0000013063475
13038,13038,"fruits, légumes, légumineuses et oléagineux",fruits,Compote de pomme,Apple compote,Sucre blanc,0.016614782999999998,0.075005048,5.6966665e-9,0.0045489219,0.00029671985,1.6931131e-8,8.5843282e-10,5.9002853e-11,0.0024363332,0.000020230592,0.000778852,0.010391374,1.19394067,4.6145636,0.31989771,0.75980278,6.2609572e-7
13038,13038,"fruits, légumes, légumineuses et oléagineux",fruits,Compote de pomme,Apple compote,Autres étapes,0.074175476,0.6571876099999999,6.9024224e-8,0.60298541,0.00172680542,2.98358412e-8,6.0526286e-9,2.4477922e-10,0.0027225688,0.000057368454999999995,0.0012472587,0.007796321199999999,2.27134397,4.3514035,0.251299897,20.914372200000003,0.00000298792305
23493,23493,produits céréaliers,gâteaux et pâtisseries,Crumble aux pommes,Apple crumble,Beurre,0.097299468,1.0366619,2.3699854e-8,0.072326021,0.0016896573,7.9428106e-8,1.3595012e-8,5.7515239e-10,0.011763582,0.00011375322,0.0037990612,0.05114145,11.5773617,61.384842,0.33628791,3.0160104,0.0000026180882
23493,23493,produits céréaliers,gâteaux et pâtisseries,Crumble aux pommes,Apple crumble,Pomme de table,0.024945365,0.089799981,1.6283904e-8,0.012633932,0.00044648534,7.1857015e-9,1.9128771e-9,1.5700358e-10,0.00076475246,0.000013798696,0.00032941996,0.0037545263,4.9124927,8.2406793,1.7222056,1.0429169,0.000001049055
23493,23493,produits céréaliers,gâteaux et pâtisseries,Crumble aux pommes,Apple crumble,Farine de blé,0.014233358,0.10154669,6.4995911e-9,0.01049906,0.00030871579,1.0236064e-8,6.3937061e-10,1.6243628e-10,0.0015804754,0.00002335954,0.0010635936,0.0068246838,2.03491037,13.825433,0.046087644,0.72134763,4.7920019e-7
23493,23493,produits céréaliers,gâteaux et pâtisseries,Crumble aux pommes,Apple crumble,Sucre blanc,0.019132174,0.086369449,6.5597978e-9,0.0052381525,0.0003416774,1.9496454e-8,9.884984e-10,6.7942679e-11,0.0028054746,0.000023295834,0.00089685988,0.011965825,1.37484076,5.3137399,0.36836706,0.87492442,7.2095871e-7
23493,23493,produits céréaliers,gâteaux et pâtisseries,Crumble aux pommes,Apple crumble,Autres étapes,0.06392436600000001,0.57080116,4.8022443000000004e-8,0.503840874,0.00135351174,2.7164473600000003e-8,5.6699188e-9,2.03575332e-10,0.0023502001,0.000047162521999999995,0.0011454129999999999,0.006478334799999999,1.97024938,4.285106799999999,0.26152009200000004,18.3685203,0.00000182448441
23481,23481,produits céréaliers,gâteaux et pâtisseries,"Tarte normande aux pommes (garniture farine, œufs, crème, sucre, calvados)","Apple pie with custard (flour, eggs, cream, sugar, apple alcohol)",Amande,0.072909337,0.23139236,1.9947005e-8,0.0076471205,0.0016231713,3.8291939e-8,8.8341784e-9,4.0945246e-10,0.0057056005,0.000064876652,0.0026727567,0.024002516,26.492835999999997,38.015974,3.1044191,1.8569381,0.0000019102429
23481,23481,produits céréaliers,gâteaux et pâtisseries,"Tarte normande aux pommes (garniture farine, œufs, crème, sucre, calvados)","Apple pie with custard (flour, eggs, cream, sugar, apple alcohol)",Beurre,0.11269883,1.200732,2.7450775e-8,0.083772895,0.0019570755,9.1999011e-8,1.5746663e-8,6.6618045e-10,0.013625378,0.00013175669,0.0044003299,0.05923549,13.4096841,71.10008,0.38951143,3.4933475,0.000003032447
